doc_id,text,category
doc_069,"Bagaimana cara membuat rencana investasi jangka panjang?",Strategy_Tips
doc_054,"Bagaimana strategi investasi emas jangka panjang?",LowRisk_Assets
doc_056,"Bagaimana cara diversifikasi dengan reksa dana?",LowRisk_Assets
doc_044,"Bagaimana cara investasi saham teknologi Amerika?",HighRisk_Assets
doc_072,"Apa tips investasi untuk ibu rumah tangga?",Strategy_Tips
doc_059,"Apa yang dimaksud dengan NAB reksa dana?",LowRisk_Assets
doc_057,"Apa keuntungan obligasi dibanding deposito?",LowRisk_Assets
doc_046,"Bagaimana cara investasi emas digital untuk pemula?",LowRisk_Assets
doc_015,"Bagaimana cara membaca laporan keuangan untuk investasi?",FAQ_Umum
doc_031,"Apa perbedaan saham dan obligasi?",HighRisk_Assets
doc_034,"Bagaimana strategi dollar cost averaging untuk saham?",HighRisk_Assets
doc_033,"Apa itu volatilitas pasar dan bagaimana menghadapinya?",HighRisk_Assets
doc_067,"Bagaimana strategi investasi untuk usia 20-an?",Strategy_Tips
doc_077,"Bagaimana cara setting target investasi yang realistis?",Strategy_Tips
doc_087,"Bagaimana cara membangun wealth melalui investasi jangka panjang?",Strategy_Tips
doc_017,"Bagaimana strategi investasi untuk pemula?",FAQ_Umum
doc_025,"Apa yang dimaksud dengan cryptocurrency dan blockchain?",HighRisk_Assets
doc_068,"Apa tips mengatur alokasi aset investasi?",Strategy_Tips
doc_055,"Apa risiko investasi emas yang perlu diketahui?",LowRisk_Assets
doc_086,"Apa yang harus dilakukan sebelum mengambil keputusan investasi besar?",Strategy_Tips
doc_043,"Apa itu margin trading dan leverage di saham?",HighRisk_Assets
doc_060,"Bagaimana cara mencairkan investasi emas digital?",LowRisk_Assets
doc_085,"Bagaimana strategi investasi konservatif untuk risk-averse?",Strategy_Tips
doc_006,"Bagaimana cara menentukan tujuan keuangan investasi?",FAQ_Umum
doc_014,"Apa yang dimaksud dengan inflasi dan bagaimana dampaknya?",FAQ_Umum
doc_041,"Apa perbedaan investasi saham lokal dan luar negeri?",HighRisk_Assets
doc_063,"Apa keuntungan kupon obligasi pemerintah?",LowRisk_Assets
doc_082,"Apa strategi investasi bulanan untuk karyawan?",Strategy_Tips
doc_045,"Apa itu emas dan mengapa dijadikan investasi?",LowRisk_Assets
doc_066,"Bagaimana perbandingan return emas vs deposito?",LowRisk_Assets
doc_078,"Apa tips menghindari kesalahan umum investor pemula?",Strategy_Tips
doc_021,"Bagaimana cara menghitung biaya investasi?",FAQ_Umum
doc_070,"Apa strategi investasi untuk persiapan pensiun?",Strategy_Tips
doc_022,"Apa itu rebalancing portofolio investasi?",FAQ_Umum
doc_075,"Bagaimana cara meningkatkan passive income dari investasi?",Strategy_Tips
doc_047,"Apa keuntungan investasi obligasi pemerintah?",LowRisk_Assets
doc_030,"Bagaimana memilih saham blue chip yang bagus?",HighRisk_Assets
doc_012,"Apa beda investasi jangka pendek dan jangka panjang?",FAQ_Umum
doc_036,"Bagaimana cara membaca chart saham untuk trading?",HighRisk_Assets
doc_042,"Bagaimana cara mengelola risiko di investasi crypto?",HighRisk_Assets
doc_019,"Bagaimana cara memilih platform investasi yang aman?",FAQ_Umum
