opinion_id,text,sentiment
op_196,"Investasi netral lainnya",netral
op_030,"Investasi positif lainnya",positif
op_146,"Investasi netral lainnya",netral
op_019,"Investasi positif lainnya",positif
op_031,"Investasi positif lainnya",positif
op_006,"Investasi positif lainnya",positif
op_046,"Investasi positif lainnya",positif
op_014,"Investasi positif lainnya",positif
op_062,"Investasi positif lainnya",positif
op_158,"Investasi netral lainnya",netral
op_058,"Investasi positif lainnya",positif
op_129,"Investasi negatif lainnya",negatif
op_108,"Investasi negatif lainnya",negatif
op_133,"Investasi negatif lainnya",negatif
op_013,"Investasi positif lainnya",positif
op_183,"Investasi netral lainnya",netral
op_156,"Investasi netral lainnya",netral
op_144,"Investasi netral lainnya",netral
op_137,"Investasi negatif lainnya",negatif
op_114,"Investasi negatif lainnya",negatif
op_059,"Investasi positif lainnya",positif
op_008,"Investasi positif lainnya",positif
op_066,"Investasi positif lainnya",positif
op_182,"Investasi netral lainnya",netral
op_060,"Investasi positif lainnya",positif
op_163,"Investasi netral lainnya",netral
op_065,"Investasi positif lainnya",positif
op_054,"Investasi positif lainnya",positif
op_042,"Investasi positif lainnya",positif
op_185,"Investasi netral lainnya",netral
op_052,"Investasi positif lainnya",positif
op_075,"Investasi negatif lainnya",negatif
op_172,"Investasi netral lainnya",netral
op_095,"Investasi negatif lainnya",negatif
op_036,"Investasi positif lainnya",positif
op_007,"Investasi positif lainnya",positif
op_033,"Investasi positif lainnya",positif
op_147,"Investasi netral lainnya",netral
op_109,"Investasi negatif lainnya",negatif
op_157,"Investasi netral lainnya",netral
op_045,"Investasi positif lainnya",positif
op_149,"Investasi netral lainnya",netral
op_121,"Investasi negatif lainnya",negatif
op_127,"Investasi negatif lainnya",negatif
op_021,"Investasi positif lainnya",positif
op_153,"Investasi netral lainnya",netral
op_023,"Investasi positif lainnya",positif
op_120,"Investasi negatif lainnya",negatif
op_084,"Investasi negatif lainnya",negatif
op_094,"Investasi negatif lainnya",negatif
op_035,"Investasi positif lainnya",positif
op_134,"Investasi negatif lainnya",negatif
op_132,"Investasi negatif lainnya",negatif
op_189,"Investasi netral lainnya",netral
op_191,"Investasi netral lainnya",netral
op_188,"Investasi netral lainnya",netral
op_140,"Investasi negatif lainnya",negatif
op_165,"Investasi netral lainnya",netral
op_130,"Investasi negatif lainnya",negatif
op_181,"Investasi netral lainnya",netral
op_110,"Investasi negatif lainnya",negatif
op_178,"Investasi netral lainnya",netral
op_135,"Investasi negatif lainnya",negatif
op_025,"Investasi positif lainnya",positif
op_175,"Investasi netral lainnya",netral
op_170,"Investasi netral lainnya",netral
op_112,"Investasi negatif lainnya",negatif
op_004,"Investasi positif lainnya",positif
op_022,"Investasi positif lainnya",positif
op_064,"Investasi positif lainnya",positif
op_038,"Investasi positif lainnya",positif
op_072,"Investasi saham saya turun 30%, sangat menyesal tidak cut loss.",negatif
op_051,"Investasi positif lainnya",positif
op_011,"Investasi positif lainnya",positif
op_174,"Investasi netral lainnya",netral
op_083,"Investasi negatif lainnya",negatif
op_102,"Investasi negatif lainnya",negatif
op_070,"Investasi positif lainnya",positif
op_076,"Investasi negatif lainnya",negatif
op_199,"Investasi netral lainnya",netral
op_101,"Investasi negatif lainnya",negatif
op_186,"Investasi netral lainnya",netral
op_168,"Investasi netral lainnya",netral
op_092,"Investasi negatif lainnya",negatif
op_074,"Investasi negatif lainnya",negatif
op_034,"Investasi positif lainnya",positif
op_071,"Rugi besar di crypto, jangan coba-coba kalau mental belum kuat!",negatif
op_194,"Investasi netral lainnya",netral
op_160,"Investasi netral lainnya",netral
op_026,"Investasi positif lainnya",positif
op_141,"Investasi emas cocok untuk jangka panjang dan hedging inflasi.",netral
op_125,"Investasi negatif lainnya",negatif
op_009,"Investasi positif lainnya",positif
op_039,"Investasi positif lainnya",positif
op_197,"Investasi netral lainnya",netral
op_152,"Investasi netral lainnya",netral
op_115,"Investasi negatif lainnya",negatif
op_079,"Investasi negatif lainnya",negatif
op_090,"Investasi negatif lainnya",negatif
op_116,"Investasi negatif lainnya",negatif
op_067,"Investasi positif lainnya",positif
op_171,"Investasi netral lainnya",netral
op_073,"Crypto terlalu volatile, stress setiap hari lihat harga naik turun.",negatif
op_105,"Investasi negatif lainnya",negatif
op_017,"Investasi positif lainnya",positif
op_166,"Investasi netral lainnya",netral
op_028,"Investasi positif lainnya",positif
op_005,"Investasi positif lainnya",positif
op_155,"Investasi netral lainnya",netral
op_010,"Investasi positif lainnya",positif
op_096,"Investasi negatif lainnya",negatif
op_098,"Investasi negatif lainnya",negatif
op_154,"Investasi netral lainnya",netral
op_061,"Investasi positif lainnya",positif
op_027,"Investasi positif lainnya",positif
op_176,"Investasi netral lainnya",netral
op_082,"Investasi negatif lainnya",negatif
op_015,"Investasi positif lainnya",positif
op_086,"Investasi negatif lainnya",negatif
op_124,"Investasi negatif lainnya",negatif
op_145,"Investasi netral lainnya",netral
op_085,"Investasi negatif lainnya",negatif
op_119,"Investasi negatif lainnya",negatif
op_200,"Investasi netral lainnya",netral
op_057,"Investasi positif lainnya",positif
op_018,"Investasi positif lainnya",positif
op_192,"Investasi netral lainnya",netral
op_097,"Investasi negatif lainnya",negatif
op_041,"Investasi positif lainnya",positif
op_087,"Investasi negatif lainnya",negatif
op_037,"Investasi positif lainnya",positif
op_078,"Investasi negatif lainnya",negatif
op_099,"Investasi negatif lainnya",negatif
op_049,"Investasi positif lainnya",positif
op_024,"Investasi positif lainnya",positif
op_077,"Investasi negatif lainnya",negatif
op_107,"Investasi negatif lainnya",negatif
op_069,"Investasi positif lainnya",positif
op_169,"Investasi netral lainnya",netral
